Type,Size,Type Name,Size Name,USA,Int,,,,,
82,373,Reserved,Large Gelati Truck Miramar,X,,,,,,
82,374,Reserved,Indv Cookie Sand Truck Miramar,X,,,,,,
82,375,Reserved,Sprinkles Truck Miramar,X,,,,,,
82,376,Reserved,Waffle Cone /Bowl Truck Miramar,X,,,,,,
82,377,Reserved,Extra Custard Upcharge Truck Miramar,X,,,,,,
82,378,Reserved,Reg Ice Truck Petco,X,,,,,,
82,379,Reserved,Large Ice Truck Petco,X,,,,,,
82,380,Reserved,Reg Custard Truck Petco,X,,,,,,
82,381,Reserved,Large Custard Truck Petco,X,,,,,,
82,382,Reserved,Reg Gelati Truck Petco,X,,,,,,
82,383,Reserved,Large Gelati Truck Petco,X,,,,,,
82,384,Reserved,Indv Cookie Sand Truck Petco,X,,,,,,
82,385,Reserved,Sprinkles Truck Miramar,X,,,,,,
82,386,Reserved,Waffle Cone /Bowl Truck  Petco,X,,,,,,
82,387,Reserved,Extra Custard Upcharge Truck  Petco,X,,,,,,
82,388,Reserved,Sprinkles Truck Petco,X,,,,,,
82,389,Reserved,Ice Helmet Truck Petco,X,,,,,,
82,390,Reserved,0-1 Weeks,X,,,,,,
82,391,Reserved,1-4 Weeks,X,,,,,,
82,392,Reserved,Greater than 4 Weeks,X,,,,,,
82,400,Reserved,Misc,X,,,,,,
83,408,Acai,Acai Bowl,X,,,,,,
83,409,Acai,Acai Smoothie,X,,,,,,
